id,title,category,include_in_rag,filename,source_page,pdf_url,local_path,status,size_bytes,sha256,downloaded_at,error
VBHN_18_2026,Văn bản hợp nhất 18/VBHN-VPQH - Bộ luật Lao động,core,True,01_18_VBHN_VPQH_2026_Bo_Luat_Lao_Dong.pdf,https://vanban.chinhphu.vn/?classid=0&docid=217002&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/02/18-vbhn-vpqh.pdf,data\raw\core\01_18_VBHN_VPQH_2026_Bo_Luat_Lao_Dong.pdf,existing,38999953,5a01a5b4b778b78c7bc9372e3a7270735bd98c28160604bff95db06bb3345a6f,,
ND_145_2020,Nghị định 145/2020/NĐ-CP,core,True,02_145_2020_ND_CP.pdf,https://vanban.chinhphu.vn/default.aspx?docid=201967&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2020/12/145.signed.pdf,data\raw\core\02_145_2020_ND_CP.pdf,existing,6176759,a72a1ff295cc06fbddd335d57257688f5118826968cd8b62d58f50fc1554b230,,
TT_10_2020,Thông tư 10/2020/TT-BLĐTBXH,core,True,03_10_2020_TT_BLDTBXH.pdf,https://vbpl.vn/TW/Pages/vbpq-van-ban-goc.aspx?ItemID=146696,https://vbpl-bientap-gateway.moj.gov.vn/api/qtdc/public/doc/minio/buckets/vbpl/146696/VanBanGoc_TT%2010%202020%20BL%C4%90TBXH.pdf/download,data\raw\core\03_10_2020_TT_BLDTBXH.pdf,downloaded,711689,b2b7e891bec31090825b93cd4e3d582cb4c779d34aca5e32e5234d9023efc853,2026-09-10T18:11:13.910260+00:00,
ND_293_2025,Nghị định 293/2025/NĐ-CP - Mức lương tối thiểu,core,True,04_293_2025_ND_CP_Luong_Toi_Thieu.pdf,https://vanban.chinhphu.vn/?docid=215832&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/11/293-cp.signed.pdf,data\raw\core\04_293_2025_ND_CP_Luong_Toi_Thieu.pdf,existing,711910,80d2943b04403338a18af20c488b4f215a98b023046ba3775f99b6e2cda93169,,
ND_12_2022,Nghị định 12/2022/NĐ-CP - Xử phạt vi phạm lĩnh vực lao động,core,True,05_12_2022_ND_CP_Xu_Phat_Lao_Dong.pdf,https://vanban.chinhphu.vn/?classid=0&docid=205182&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2022/01/12-2022-nd.signed.pdf,data\raw\core\05_12_2022_ND_CP_Xu_Phat_Lao_Dong.pdf,existing,4766689,6773588aae73522a26ddb1d5e5f4551912008e0ac62fcc0117be3e95e79c7ae1,,
ND_337_2025,Nghị định 337/2025/NĐ-CP - Hợp đồng lao động điện tử,core,True,06_337_2025_ND_CP_Hop_Dong_Lao_Dong_Dien_Tu.pdf,https://vanban.chinhphu.vn/?classid=0&docid=216284&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/12/337-cp.signed.pdf,data\raw\core\06_337_2025_ND_CP_Hop_Dong_Lao_Dong_Dien_Tu.pdf,existing,802003,9a04efe6691b871da3cc8ac3fd6984cc9425040a973f27990e6a3081d9d76fec,,
TT_08_2026,Thông tư 08/2026/TT-BNV - Hợp đồng lao động điện tử,core,True,07_08_2026_TT_BNV_Hop_Dong_Lao_Dong_Dien_Tu.pdf,https://vanban.chinhphu.vn/?classid=0&docid=218200&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2026/5/08-bnv.pdf,data\raw\core\07_08_2026_TT_BNV_Hop_Dong_Lao_Dong_Dien_Tu.pdf,existing,8188494,e14a80342e6914629d7f34f3cfafc827c1685d728f511f03859a376acc3b3999,,
BLLD_45_2019,Bộ luật Lao động 45/2019/QH14 - Bản gốc,references,False,45_2019_QH14_Bo_Luat_Lao_Dong_Ban_Goc.pdf,https://vanban.chinhphu.vn/?classid=1&docid=198540&pageid=27160&typegroupid=3,https://datafiles.chinhphu.vn/cpp/files/vbpq/2019/12/45.signed.pdf,data\raw\references\45_2019_QH14_Bo_Luat_Lao_Dong_Ban_Goc.pdf,existing,5232503,a0c0fcc3b9e040bcdcab70191f0ab95952183be94a6f5bc6424e8d3e85697139,,
ND_35_2022,Nghị định 35/2022/NĐ-CP,amendments,False,35_2022_ND_CP.pdf,https://vanban.chinhphu.vn/?docid=205861&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2022/05/35-2022-nd.signed.pdf,data\raw\amendments\35_2022_ND_CP.pdf,existing,4144850,e74b6cf08e204c105130e34937044475f27a59d9559bde11720551ef37ef0e35,,
ND_10_2024,Nghị định 10/2024/NĐ-CP,amendments,False,10_2024_ND_CP.pdf,https://vanban.chinhphu.vn/?docid=209657&pageid=27160,https://datafiles.chinhphu.vn/cpp/files/vbpq/2024/02/10-cp.signed.pdf,data\raw\amendments\10_2024_ND_CP.pdf,existing,2548271,9bbb4c8c7ee072b5b79d89e2444ef6a8686922557719b0138881bd39c6fd30fe,,
ND_129_2025,Nghị định 129/2025/NĐ-CP,amendments,False,129_2025_ND_CP.pdf,https://vanban.chinhphu.vn/?classid=1&docid=213920&pageid=27160&typegroupid=4,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/6/129nd.signed.pdf,data\raw\amendments\129_2025_ND_CP.pdf,existing,2106957,72735be7240c01db3c66295ea27161d92e6f87432e48459f6284f94d60c1a113,,
